symbol,signal_type,entry_price,exit_price,pnl,pnl_pct,label,timestamp,ltq_ratio_2m_5m,ltq_ratio_5m_20m,etq_5m,etq_20m,etq_60m,etq_acceleration,bid_ask_imbalance,spread_pct,smma_gap_pct,price_vs_avg20m,price_vs_avg60m,volume_surge,rsi_14,atr_pct
RELIANCE,BUY,1420.9000244140625,1362.5999755859375,-58.300048828125,-4.103036654684149,0,2026-04-29 11:15:00+05:30,0.7478159631331469,1.5343524216326798,24196478.0,63079323.0,157482922.0,1.5343524216326798,-0.5873132476973442,0.05,0.07655892858676412,1.0382142559921228,1.0462231084615545,0.9082359817284708,77.89938068819787,0.7931963805596985
RELIANCE,SELL,1362.5999755859375,1332.199951171875,30.4000244140625,2.231030747009228,1,2026-05-14 14:15:00+05:30,1.3901951796466137,1.2643609810838368,14413798.0,45600262.0,132220699.0,1.2643609810838368,-0.3999117228360566,0.05,-0.010181051840415371,0.9966682422398289,0.9634561487861562,2.325236393391859,35.82894727393298,0.6977629923281794
TCS,SELL,2427.5,2229.60009765625,197.89990234375,8.15241616246138,1,2026-04-27 09:15:00+05:30,0.3813555521764636,1.0362941626329552,2452993.0,9468327.0,24460354.0,1.0362941626329552,1.0,0.05,-0.1345407629101321,0.9761266237004153,0.9579432352625242,0.0,31.90790117810245,0.8628002287848504
INFY,BUY,1310.0,1251.0,-59.0,-4.5038167938931295,0,2026-04-06 11:15:00+05:30,0.6261902722466588,1.1221154743382955,8102138.0,28881655.0,96441934.0,1.1221154743382953,0.30222976268458307,0.05,0.05049397776924256,1.021171773180525,1.0302197815384537,0.8458471385590125,63.22620838990688,0.9429706941549354
INFY,SELL,1251.0,1268.0999755859375,-17.0999755859375,-1.3669045232563948,0,2026-04-23 12:15:00+05:30,1.3460697013040728,0.7178474666870334,5846146.0,32575979.0,91756880.0,0.7178474666870334,-0.24310087551147513,0.05,-0.12285140789231191,0.9731243390459495,0.9641135432908803,0.9003349919862536,26.957363520862856,0.7968414498381258
INFY,BUY,1268.0999755859375,1167.9000244140625,-100.199951171875,-7.901581350127909,0,2026-06-02 12:15:00+05:30,1.261519953322516,0.6585519618886234,15209046.0,92378715.0,132161851.0,0.6585519618886234,-0.12764055758950824,0.05,0.09456800923604892,1.0488833492010434,1.0670589580673486,0.8064183000119798,72.47435131754102,1.1548714198384804
INFY,SELL,1167.9000244140625,1157.699951171875,10.2000732421875,0.873368698429893,1,2026-06-09 09:15:00+05:30,0.5587582349766809,0.7421532625159113,4052683.0,21842836.0,145333216.0,0.7421532625159114,-1.0,0.05,-0.04535223213644059,0.9763172848079851,0.9707664767669997,0.0,28.48620412575987,0.8802179170836576
ICICIBANK,BUY,1350.300048828125,1261.0,-89.300048828125,-6.613348559501659,0,2026-04-13 13:15:00+05:30,1.736387632223635,1.1984497035250965,14610096.0,48763318.0,148102550.0,1.1984497035250965,0.4036545273834705,0.05,0.12991531375852022,1.0305431186511587,1.0737630944840562,2.758488903932443,75.59168636915024,0.8780880068180758
ICICIBANK,SELL,1261.0,1312.5,-51.5,-4.08406026962728,0,2026-04-30 10:15:00+05:30,0.38368573654207155,0.7318260374753063,6342971.0,34669283.0,123798275.0,0.7318260374753063,-0.9999989727617505,0.05,-0.05356325961598794,0.973388139485517,0.9453257847655959,0.5463421724734425,12.442354118836818,0.6064390383927026
ICICIBANK,BUY,1312.5,1406.800048828125,94.300048828125,7.184765625000001,1,2026-06-11 09:15:00+05:30,0.317322182470752,1.0019587665218097,11735415.0,46849892.0,132841138.0,1.0019587665218097,1.0,0.05,0.12495522871247917,1.0283753256605555,1.045403012105996,0.0,73.62392459309622,0.7728453421248334
SBIN,SELL,1068.4000244140625,1026.5,41.9000244140625,3.921754348240635,1,2026-05-04 15:15:00+05:30,1.0869559511183657,1.019563916594239,7619467.0,29893043.0,88853275.0,1.019563916594239,-0.4588981462581878,0.05,-0.05530709457761872,0.9905869356842384,0.9766933985518698,0.9439395379399308,35.81747924573753,0.6977291687492069
BHARTIARTL,SELL,1826.9000244140625,1888.5999755859375,-61.699951171875,-3.3773031007355687,0,2026-04-22 14:15:00+05:30,1.2303084772360908,0.6521719666974697,4097385.0,25130703.0,76262655.0,0.6521719666974696,-0.3360336882827096,0.05,-0.004303765586576356,0.9886598383644402,0.9850314243541086,0.9550578644963997,33.92706798284178,0.5662160942311509
BHARTIARTL,BUY,1888.5999755859375,1809.5999755859375,-79.0,-4.182992747073942,0,2026-04-29 13:15:00+05:30,1.4873097548886767,1.0216302396230559,4789742.0,18753329.0,64624403.0,1.0216302396230557,0.0,0.05,0.03532076722183973,1.0244615430044948,1.0261416213713217,2.316514284715892,73.53291466183643,0.6320020139816209
BHARTIARTL,SELL,1809.5999755859375,1908.0,-98.4000244140625,-5.437667204996572,0,2026-05-05 13:15:00+05:30,1.7177366160374135,0.9159285410315453,5757936.0,25145787.0,60707604.0,0.9159285410315454,-0.43803400497065575,0.05,-0.013796813040678731,0.9768737336504049,0.9819670499040194,2.1068165955525897,32.2052145355117,0.8467549630800859
BHARTIARTL,BUY,1908.0,1817.800048828125,-90.199951171875,-4.727460753242925,0,2026-05-15 13:15:00+05:30,1.095593104350821,0.8965492918445507,7136906.0,31841667.0,78490600.0,0.8965492918445507,0.11899935501704598,0.05,0.009925050685021468,1.036111865327179,1.0489529698008637,0.8902392395028641,77.2936194444499,0.7922245858341873
BHARTIARTL,SELL,1817.800048828125,1875.699951171875,-57.89990234375,-3.1851634276870073,0,2026-06-01 11:15:00+05:30,0.09139565823561865,2.183589132409102,30731055.0,56294574.0,84123834.0,2.1835891324091024,-0.429462706805807,0.05,-0.05974157256756794,0.9872694675143762,0.96961747062166,0.2550672465378347,23.992295018687003,0.6447611166277507
KOTAKBANK,SELL,375.1000061035156,380.45001220703125,-5.350006103515625,-1.4262879276091491,0,2026-05-04 10:15:00+05:30,0.9065790540068412,2.150115113399993,24887347.0,46299562.0,128245741.0,2.150115113399993,0.8315283295057274,0.05,-0.020559102916495042,0.9852708612365042,0.9929190817378483,3.9206377394846013,40.80860084057404,1.109312568205424
KOTAKBANK,BUY,380.45001220703125,375.79998779296875,-4.6500244140625,-1.2222432027501353,0,2026-05-11 15:15:00+05:30,0.9130866293246181,1.2843629772114644,16303694.0,50775970.0,188816268.0,1.2843629772114644,-1.0,0.05,0.010061848293791115,1.0011776535428734,1.0071476153402237,0.6654346327956726,52.58965883638881,0.8423139217036552
